lemma,part_of_speech,hyponyms
antineoplastic,noun,alkylating agent;antimetabolite;antineoplastic antibiotic;asparaginase;floxuridine;lomustine;melphalan;periwinkle plant derivative;procarbazine;thioguanine;thiotepa
antiseptic,noun,chloramine;chlorhexidine;gramicidin;iodoform;merbromine;mild silver protein;neomycin;thimerosal;tincture of iodine
antiviral,noun,dideoxycytosine;dideoxyinosine;interferon;protease inhibitor;reverse transcriptase inhibitor;ribavirin
anuran,noun,barking frog;crapaud;eastern narrow-mouthed toad;fire-bellied toad;leptodactylid frog;liopelma hamiltoni;midwife toad;obstetrical toad;robber frog;sheep frog;south american poison toad;spadefoot;tailed frog;tongueless frog;tree frog;tree toad;true frog;true toad;western narrow-mouthed toad
anxiolytic,noun,benzodiazepine;buspirone;flurazepam;hydroxyzine hydrochloride;meprobamate;oxazepam;perphenazine
aperient,noun,aloes;castor oil;epsom salts;laxative;milk of magnesia;seidlitz powder
appalled,verb,shock|shock
appalling,verb,shock|shock
appareled,verb,coat;corset;costume;cover;frock;gown;habit;jacket;overdress;prim;shirt;shoe;underdress;vest;vesture
appealing,verb,call on;plead|beckon;capture
appellative,noun,nickname;street name;title;title
applied,verb,address;avail;cannibalize;enjoy;exert;exploit;exploit;fall back;give;implement;misapply;overuse;play;play;ply;pull out all the stops;put;recycle;share;strain;take;waste;work|put in|cold-cream;cream;dab;daub;dress;gum;putty;slap on;sponge on|administer;tread|follow|execute;run
appointed,verb,co-opt;pack|accredit;create;delegate;depute;empower;name
apportioned,verb,award;ration;reapportion
appraising,verb,censor;grade;praise;rate;reassess;standardize
appreciated,verb,do justice;recognize
apprehended,verb,catch on;digest;figure;intuit
approaching,noun,access;closing;landing approach;run-up
approaching,verb,bear down on;close;drive up;edge in;push|converge|confront|get on|hit
appropriate,verb,carry
approved,verb,back;confirm;sanction;visa|rubberstamp
approving,noun,admiration;adoption;backing;reward
approving,verb,back;confirm;sanction;visa|rubberstamp
approximate,verb,border on|assess;give;guesstimate;lowball;make;misgauge;place;quantize;reckon;truncate
